360,1.20E-06,0,5.70E-06
361,1.40E-06,0,6.40E-06
362,1.50E-06,0,7.20E-06
363,1.70E-06,0,8.00E-06
364,1.90E-06,0,9.00E-06
365,2.20E-06,0,1.02E-05
366,2.40E-06,0,1.14E-05
367,2.70E-06,0,1.28E-05
368,3.10E-06,0,1.44E-05
369,3.50E-06,0,1.62E-05
370,3.90E-06,0,1.82E-05
371,4.30E-06,0,2.04E-05
372,4.90E-06,0,2.28E-05
373,5.40E-06,0,2.56E-05
374,6.10E-06,0,2.88E-05
375,6.90E-06,0,3.26E-05
376,7.90E-06,1.00E-07,3.72E-05
377,9.00E-06,1.00E-07,4.25E-05
378,1.02E-05,1.00E-07,4.83E-05
379,1.15E-05,1.00E-07,5.43E-05
380,1.28E-05,1.00E-07,6.03E-05
381,1.41E-05,1.00E-07,6.63E-05
382,1.54E-05,1.00E-07,7.25E-05
383,1.69E-05,1.00E-07,7.95E-05
384,1.87E-05,1.00E-07,8.81E-05
385,2.09E-05,1.00E-07,9.87E-05
386,2.37E-05,2.00E-07,0.0001119
387,2.71E-05,2.00E-07,0.0001278
388,3.09E-05,2.00E-07,0.0001458
389,3.51E-05,3.00E-07,0.0001659
390,3.97E-05,3.00E-07,0.0001876
391,4.45E-05,3.00E-07,0.0002106
392,4.99E-05,4.00E-07,0.0002358
393,5.59E-05,5.00E-07,0.0002646
394,6.31E-05,5.00E-07,0.0002984
395,7.16E-05,6.00E-07,0.0003388
396,8.19E-05,7.00E-07,0.0003877
397,9.38E-05,8.00E-07,0.0004444
398,0.0001068,9.00E-07,0.0005063
399,0.0001204,1.00E-06,0.0005706
400,0.0001339,1.10E-06,0.0006348
401,0.0001469,1.20E-06,0.0006968
402,0.0001604,1.30E-06,0.0007612
403,0.0001757,1.50E-06,0.0008341
404,0.0001941,1.70E-06,0.0009219
405,0.0002169,2.00E-06,0.0010309
406,0.0002452,2.30E-06,0.0011658
407,0.0002786,2.70E-06,0.0013256
408,0.0003169,3.20E-06,0.001509
409,0.0003598,3.80E-06,0.0017144
410,0.000407,4.40E-06,0.0019403
411,0.0004583,5.10E-06,0.0021862
412,0.0005147,5.90E-06,0.0024568
413,0.0005773,6.90E-06,0.0027577
414,0.0006474,8.00E-06,0.0030947
415,0.0007262,9.30E-06,0.0034736
416,0.0008134,1.09E-05,0.0038937
417,0.000909,1.28E-05,0.0043545
418,0.0010141,1.51E-05,0.0048619
419,0.0011297,1.81E-05,0.0054216
420,0.001257,2.18E-05,0.0060397
421,0.0013971,2.65E-05,0.0067216
422,0.0015472,3.20E-05,0.0074534
423,0.0017023,3.84E-05,0.0082124
424,0.0018579,4.56E-05,0.0089758
425,0.002009,5.37E-05,0.0097205
426,0.0021532,6.26E-05,0.0104345
427,0.0022907,7.25E-05,0.0111186
428,0.0024207,8.33E-05,0.01177
429,0.0025425,9.51E-05,0.0123856
430,0.0026557,0.0001081,0.0129626
431,0.002759,0.0001221,0.0134962
432,0.0028521,0.0001372,0.0139842
433,0.0029352,0.0001534,0.0144275
434,0.0030087,0.0001705,0.0148269
435,0.0030728,0.0001886,0.0151831
436,0.0031276,0.0002077,0.015496
437,0.003173,0.0002277,0.0157663
438,0.0032096,0.0002486,0.0159962
439,0.0032377,0.0002702,0.0161881
440,0.0032578,0.0002926,0.0163441
441,0.0032702,0.0003156,0.0164656
442,0.0032753,0.0003394,0.0165552
443,0.003274,0.000364,0.0166173
444,0.0032672,0.0003897,0.0166563
445,0.0032557,0.0004167,0.0166766
446,0.00324,0.000445,0.0166801
447,0.0032202,0.0004745,0.0166682
448,0.0031972,0.0005054,0.0166448
449,0.0031718,0.0005377,0.0166136
450,0.0031448,0.0005713,0.0165785
451,0.0031167,0.0006062,0.0165424
452,0.0030871,0.0006426,0.016503
453,0.0030553,0.0006803,0.0164553
454,0.0030202,0.0007194,0.0163947
455,0.002981,0.0007598,0.0163164
456,0.0029373,0.0008017,0.0162178
457,0.0028892,0.0008449,0.016099
458,0.0028368,0.0008891,0.0159594
459,0.0027804,0.0009342,0.0157985
460,0.00272,0.00098,0.0156157
461,0.0026561,0.0010264,0.015413
462,0.0025883,0.0010734,0.0151874
463,0.0025153,0.0011211,0.0149311
464,0.0024358,0.0011696,0.0146365
465,0.0023486,0.001219,0.0142957
466,0.0022527,0.0012693,0.0139029
467,0.0021498,0.0013205,0.013467
468,0.0020427,0.0013729,0.0130026
469,0.0019343,0.0014269,0.0125242
470,0.0018271,0.0014826,0.0120461
471,0.0017229,0.0015401,0.0115764
472,0.001621,0.0015995,0.0111124
473,0.0015215,0.0016608,0.0106534
474,0.0014242,0.001724,0.0101986
475,0.0013289,0.0017891,0.0097472
476,0.0012361,0.0018563,0.0093009
477,0.0011462,0.0019256,0.0088626
478,0.0010593,0.0019967,0.0084333
479,0.0009753,0.002069,0.0080139
480,0.0008943,0.0021424,0.0076053
481,0.0008163,0.0022166,0.0072084
482,0.0007416,0.0022922,0.0068241
483,0.0006706,0.00237,0.0064543
484,0.0006038,0.0024507,0.0061006
485,0.0005418,0.0025351,0.0057647
486,0.0004848,0.0026236,0.0054478
487,0.0004326,0.0027165,0.0051493
488,0.0003847,0.0028142,0.0048679
489,0.0003403,0.0029173,0.0046025
490,0.0002992,0.0030263,0.0043519
491,0.0002609,0.0031418,0.0041156
492,0.0002256,0.003264,0.0038935
493,0.0001933,0.0033928,0.0036849
494,0.0001638,0.003528,0.003489
495,0.0001373,0.0036695,0.0033052
496,0.0001135,0.0038168,0.0031327
497,9.26E-05,0.0039706,0.0029708
498,7.43E-05,0.0041327,0.0028191
499,5.87E-05,0.0043045,0.0026772
500,4.56E-05,0.0044878,0.0025446
501,3.51E-05,0.0046836,0.0024213
502,2.73E-05,0.0048904,0.0023059
503,2.25E-05,0.005106,0.0021963
504,2.07E-05,0.0053279,0.0020905
505,2.23E-05,0.0055539,0.0019861
506,2.72E-05,0.0057824,0.001882
507,3.57E-05,0.0060137,0.0017786
508,4.83E-05,0.0062484,0.0016767
509,6.52E-05,0.0064873,0.0015769
510,8.69E-05,0.0067307,0.00148
511,0.0001136,0.0069786,0.0013859
512,0.0001453,0.0072292,0.0012945
513,0.0001822,0.0074806,0.0012068
514,0.0002244,0.007731,0.0011233
515,0.0002722,0.0079785,0.001045
516,0.0003257,0.0082225,0.0009721
517,0.0003847,0.0084618,0.0009043
518,0.000449,0.0086938,0.0008418
519,0.0005182,0.0089159,0.0007844
520,0.000592,0.0091254,0.000732
521,0.0006703,0.0093204,0.0006849
522,0.0007529,0.0095018,0.0006425
523,0.0008398,0.0096712,0.000604
524,0.0009307,0.0098304,0.0005687
525,0.0010256,0.0099812,0.0005356
526,0.0011245,0.0101242,0.0005043
527,0.001227,0.0102587,0.0004747
528,0.0013323,0.0103843,0.0004467
529,0.0014398,0.0105006,0.00042
530,0.0015488,0.0106074,0.0003944
531,0.0016588,0.0107046,0.0003696
532,0.00177,0.0107925,0.0003455
533,0.0018826,0.0108717,0.0003224
534,0.0019967,0.0109425,0.0003002
535,0.0021126,0.0110054,0.0002792
536,0.0022303,0.0110606,0.0002592
537,0.0023496,0.0111082,0.0002404
538,0.0024705,0.011148,0.0002225
539,0.0025932,0.0111802,0.0002057
540,0.0027177,0.0112046,0.0001899
541,0.0028439,0.0112213,0.0001751
542,0.002972,0.0112306,0.0001613
543,0.0031017,0.0112326,0.0001484
544,0.0032332,0.0112273,0.0001364
545,0.0033662,0.0112149,0.0001254
546,0.0035008,0.0111954,0.0001151
547,0.003637,0.011169,0.0001057
548,0.003775,0.0111362,9.71E-05
549,0.0039147,0.0110973,8.91E-05
550,0.0040564,0.0110527,8.19E-05
551,0.0042,0.0110022,7.52E-05
552,0.0043454,0.0109459,6.91E-05
553,0.0044926,0.0108839,6.35E-05
554,0.0046415,0.0108161,5.84E-05
555,0.004792,0.0107425,5.38E-05
556,0.004944,0.0106629,4.96E-05
557,0.0050975,0.0105773,4.58E-05
558,0.005252,0.0104855,4.24E-05
559,0.0054075,0.0103873,3.93E-05
560,0.0055636,0.0102827,3.65E-05
561,0.0057201,0.0101713,3.39E-05
562,0.0058769,0.0100537,3.15E-05
